GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt
1828,Gd,9,1822,2007
894,TA,5,894,1962
964,TA,5,876,1921
1689,Gd,8,1568,2002
1541,Gd,7,1541,2001
1221,Gd,7,1221,2004
1324,TA,6,1088,1965
1416,Gd,7,696,1999
988,TA,4,462,1973
1218,TA,6,735,1941
1656,Gd,7,746,2003
1362,Gd,6,1362,2005
1839,TA,6,756,1966
1375,TA,6,1367,1954
1122,Gd,5,924,1948
1432,Gd,5,1360,1978
1456,Gd,7,728,2007
1217,Gd,7,1188,1990
1040,TA,5,0,1950
1224,Gd,6,612,2009
1774,TA,7,952,1931
1367,TA,5,861,1900
1360,Gd,5,803,1938
848,Gd,6,848,2004
2262,Gd,8,1482,2003
1220,TA,4,836,1951
1414,Gd,7,1375,2004
2058,TA,6,735,1917
1198,TA,6,901,1920
1659,Ex,8,1501,2000
1012,TA,6,1012,1920
3082,TA,7,824,1920
1812,Gd,5,360,1900
1929,Gd,7,1057,2001
954,TA,5,911,1976
1838,Ex,9,1838,2006
1640,Gd,6,1296,1954
1148,TA,5,1148,1959
950,TA,5,950,1971
1911,Gd,8,777,1993
1635,TA,6,1065,1923
1316,Gd,7,1316,2007
1442,TA,6,1442,1970
1078,TA,5,1078,1971
1120,Fa,4,1040,1961
1419,Gd,8,408,2002
1389,TA,7,651,1946
1063,TA,5,1056,1954
1792,Ex,9,1792,2003
1216,TA,6,1216,1998
1762,Gd,7,596,1920
1959,Gd,7,847,2004
1208,TA,6,1208,1977
1524,TA,5,874,1958
1154,Gd,4,796,1922
1048,TA,5,0,1950
886,TA,5,190,1938
943,TA,5,943,1979
1768,Gd,7,866,2005
2599,Gd,9,1393,1999
912,TA,5,912,1958
882,TA,5,0,1956
1337,Gd,6,1405,1998
2076,Ex,10,2076,2006
2531,Gd,8,1318,1995
1768,Gd,5,731,1937
1625,Gd,8,1573,2006
2144,Gd,6,1444,1958
2775,Gd,10,1237,1893
1868,TA,6,585,1984
1525,Gd,7,1525,2000
1571,Gd,8,1571,2007
796,TA,5,796,1910
2372,TA,5,994,1892
1472,Gd,7,384,1991
960,TA,4,648,1965
1838,TA,5,732,2005
1309,Gd,6,1040,1974
2643,Ex,9,2153,2006
1131,TA,5,676,1941
1960,TA,5,960,1952
1144,TA,5,1144,1963
1056,TA,6,1056,1980
693,Fa,4,693,1941
1494,Gd,6,1479,1997
1646,Gd,8,1594,2004
864,TA,5,864,1972
1566,Gd,8,1566,2008
1395,TA,6,723,1972
1208,TA,4,780,1925
1513,TA,5,939,1920
1367,TA,6,884,1931
955,TA,5,955,1966
1077,TA,3,1007,1922
1056,TA,5,1056,1955
1553,Gd,7,756,2005
1614,Gd,7,1614,2005
2042,Ex,8,2042,2008
1073,TA,5,1073,1921
1285,TA,5,672,1948
2117,TA,6,1205,1970
605,TA,4,528,1920
1150,TA,5,1150,1959
1456,Gd,6,728,2005
999,Ex,7,944,1961
1500,Gd,6,750,2005
1336,TA,5,1165,1953
1593,TA,6,839,2004
2184,Ex,9,1104,2008
1560,Gd,7,1560,2003
1644,Gd,5,728,1942
630,Gd,4,630,1970
1113,TA,6,1143,1976
2172,Gd,7,1063,2006
1346,TA,4,560,1910
2610,Ex,8,1184,2007
1958,Gd,7,1026,2005
1468,Gd,8,1468,2008
1734,Gd,5,0,1977
1200,TA,5,768,1946
1550,Gd,7,1092,2006
2230,TA,4,795,1912
1639,TA,6,1064,1936
864,TA,5,864,1958
1621,Gd,7,1208,1984
987,Gd,6,483,1972
2519,Gd,7,1210,1989
