GrLivArea,GarageArea,OverallQual,TotalBsmtSF,YearBuilt
1828,774,9,1822,2007
894,308,5,894,1962
964,432,5,876,1921
1689,857,8,1568,2002
1541,843,7,1541,2001
1221,400,7,1221,2004
1324,440,6,1088,1965
1416,484,7,696,1999
988,297,4,462,1973
1218,440,6,735,1941
1656,397,7,746,2003
1362,460,6,1362,2005
1839,442,6,756,1966
1375,451,6,1367,1954
1122,528,5,924,1948
1432,588,5,1360,1978
1456,400,7,728,2007
1217,497,7,1188,1990
1040,625,5,0,1950
1224,528,6,612,2009
1774,468,7,952,1931
1367,384,5,861,1900
1360,297,5,803,1938
848,420,6,848,2004
2262,749,8,1482,2003
1220,396,4,836,1951
1414,398,7,1375,2004
2058,396,6,735,1917
1198,0,6,901,1920
1659,499,8,1501,2000
1012,308,6,1012,1920
3082,672,7,824,1920
1812,672,5,360,1900
1929,650,7,1057,2001
954,576,5,911,1976
1838,765,9,1838,2006
1640,924,6,1296,1954
1148,672,5,1148,1959
950,280,5,950,1971
1911,471,8,777,1993
1635,440,6,1065,1923
1316,440,7,1316,2007
1442,615,6,1442,1970
1078,500,5,1078,1971
1120,544,4,1040,1961
1419,527,8,408,2002
1389,240,7,651,1946
1063,280,5,1056,1954
1792,874,9,1792,2003
1216,402,6,1216,1998
1762,576,7,596,1920
1959,434,7,847,2004
1208,546,6,1208,1977
1524,315,5,874,1958
1154,240,4,796,1922
1048,420,5,0,1950
886,273,5,190,1938
943,600,5,943,1979
1768,603,7,866,2005
2599,779,9,1393,1999
912,275,5,912,1958
882,308,5,0,1956
1337,511,6,1405,1998
2076,850,10,2076,2006
2531,752,8,1318,1995
1768,240,5,731,1937
1625,538,8,1573,2006
2144,389,6,1444,1958
2775,880,10,1237,1893
1868,477,6,585,1984
1525,541,7,1525,2000
1571,722,8,1571,2007
796,0,5,796,1910
2372,432,5,994,1892
1472,402,7,384,1991
960,364,4,648,1965
1838,372,5,732,2005
1309,484,6,1040,1974
2643,694,9,2153,2006
1131,200,5,676,1941
1960,400,5,960,1952
1144,336,5,1144,1963
1056,576,6,1056,1980
693,0,4,693,1941
1494,576,6,1479,1997
1646,482,8,1594,2004
864,352,5,864,1972
1566,750,8,1566,2008
1395,497,6,723,1972
1208,539,4,780,1925
1513,180,5,939,1920
1367,560,6,884,1931
955,386,5,955,1966
1077,210,3,1007,1922
1056,572,5,1056,1955
1553,615,7,756,2005
1614,865,7,1614,2005
2042,1390,8,2042,2008
1073,326,5,1073,1921
1285,240,5,672,1948
2117,550,6,1205,1970
605,0,4,528,1920
1150,300,5,1150,1959
1456,400,6,728,2005
999,588,7,944,1961
1500,564,6,750,2005
1336,375,5,1165,1953
1593,398,6,839,2004
2184,836,9,1104,2008
1560,573,7,1560,2003
1644,312,5,728,1942
630,286,4,630,1970
1113,504,6,1143,1976
2172,947,7,1063,2006
1346,384,4,560,1910
2610,550,8,1184,2007
1958,936,7,1026,2005
1468,898,8,1468,2008
1734,539,5,0,1977
1200,240,5,768,1946
